"RAE","Ministere (Client)","NOM DU SITE","Label","ADRESSE","CODE POSTAL","VILLE"
30000210767697,"INTERIEUR","PREFECTURE","Service","RUE DU CONTRAT SOCIAL",76000,"ROUEN"
30000210927010,"INTERIEUR","ECOLE NATIONALE DE POLICE","Ecole","QUARTIER FAIDHERBE",76350,"OISSEL"
30000220299483,"JUSTICE","JUSTICE- VAL DE REUIL- MAISON D'ARRET (02994)","Prison","LES VIGNETTES 27100 VAL DE REUIL",27100,"VAL DE REUIL"
30000240236190,"JUSTICE","M JUSTICE  EX MAISON D ARRET CAEN","Prison","10 RUE GENERAL DUPARGE 14000 CAEN",14000,"CAEN"
30000240713749,"JUSTICE","COUR D'APPEL DE CAEN","Tribunal","PLACE GAMBETTA 14000 CAEN",14000,"CAEN"
30000240852236,"JUSTICE","LE CENTRE DE DETENTION","Prison","39 RUE GENERAL MOULIN 14000 CAEN",14000,"CAEN"
30000241043274,"JUSTICE","CENTRE PENITENTIAIRE DE CAEN","Prison","35 RUE GENERAL MOULIN 14000 CAEN",14000,"CAEN"
30000430018188,"Ministďż˝res ďż˝conomiques et financiers","DISI PARIS CHAMPAGE - REIMS","Administration","24 BOULEVARD PASTEUR",51100,"REIMS"
30000450232843,"JUSTICE","MAISON CENTRALE CLAIRVAUX","Prison","DE CLAIRVAUX 10310 VILLE SOUS LA FERTE",10310,"VILLE SOUS LA FERTE"
30000454023641,"INTERIEUR","MINISTERE DE L INTERIEUR","Ministere","18 RUE DES GAYETTES",10000,"TROYES"
30000510086448,"JUSTICE","CENTRE DE DETENTION  TOUL","Prison","804 RUE DU MARECHAL LYAUTEY 54200 TOUL",54200,"TOUL"
30000510086550,"JUSTICE","CENTRE DE DETENTION TOUL","Prison","804 RUE DU MARECHAL LYAUTEY 54200 TOUL",54200,"TOUL"
30000510282202,"JUSTICE","CENTRE DE DETENTION  ECROUVES","Prison","323 ROUTE DE PAGNEY CENTRE PENIT 54200 ECROUVES",54200,"ECROUVES"
30000510303037,"Ministďż˝res ďż˝conomiques et financiers","DSF TRESORERIE M M  NANCY","Administration","50 RUE DES PONTS",54036,"NANCY"
30000510485800,"JUSTICE","CITE JUDICIAIRE","Tribunal","AVENUE DU MARECHAL JUIN 54000 NANCY",54000,"NANCY"
30000520300564,"INTERIEUR","ECOLE DE GENDARMERIE","Ecole","1 AVENUE 109E REGIMENT D INFANTERIE",52000,"CHAUMONT"
30000520361966,"JUSTICE","CENTRE DE DETENTION MONTMEDY","Prison","48324 RUE DU COMMANDANT MENARD CONTRAT 48324 55600 MONTMEDY",55600,"MONTMEDY"
30000540177920,"JUSTICE","MAISON D'ARRET D'EPINAL","Prison","SIGNE 09/06/99 13 RUE VILLARS 01/01/99 88000 EPINAL",88000,"EPINAL"
30000550073553,"JUSTICE","CENTRE DE DETENTION  OERMINGEN","Prison",". 67970 OERMINGEN",67970,"OERMINGEN"
30000630111148,"JUSTICE","MAISON CENTRALE D ENSISHEIM","Prison","49 RUE DE LA 1ERE ARMEE 68190 ENSISHEIM",68190,"ENSISHEIM"
30000634095736,"INTERIEUR","HOTEL DE POLICE","Commissariat","43 RUE DE LA MERTZAU",68100,"MULHOUSE"
30000710011902,"Ministďż˝res ďż˝conomiques et financiers","PAIERIE GENERALE DU TRESOR","Administration","16 RUE NOTRE DAME DES VICTOIRES",75002,"PARIS 02"
30000710044738,"JUSTICE","MINISTERE DE LA JUSTICE","Ministere","34 RUE CAMBON 75001 PARIS",75001,"PARIS"
30000711020909,"JUSTICE","MINISTERE DE LA JUSTICE","Ministere","8 RUE DU RENARD 75004 PARIS",75004,"PARIS"
30000711148687,"Ministďż˝res ďż˝conomiques et financiers","RECETTE GENERALE DES FINANCES","Administration","96 RUE REAUMUR",75002,"PARIS 02"
30000711596648,"Ministďż˝res ďż˝conomiques et financiers","DSF PARIS NORD","Administration","5 RUE DE LONDRES",75009,"PARIS 09"
30000720645041,"Ministďż˝res ďż˝conomiques et financiers","MEFI - DGI - DSIP (072-06450)","Administration","RUE REYNALDO HAHN",75020,"PARIS 20"
30000720733464,"EDUCATION","ACADEMIE DE PARIS","Ecole","94 AVENUE GAMBETTA",75020,"PARIS 20"
30000720931805,"INTERIEUR","PREFECTURE DE POLICE","Service","3 A RUE ERIK SATIE",75019,"PARIS 19"
30000730095486,"INTERIEUR","PREFECTURE DE POLICE SCES TECH","Service","4 RUE JULES BRETON",75013,"PARIS 13"
30000730148145,"EDUCATION","MIN EDU NTLE RECHERCHE ET TECHNOLOGIE","Ministere","21 RUE DESCARTES",75005,"PARIS 05"
30000730176150,"EDUCATION","EDUCATION NLE DIV SCES MATERIE","Ecole","110 RUE DE GRENELLE",75007,"PARIS 07"
30000730177051,"EDUCATION","EDUCATION NLE DIV SCES MATERIE","Ecole","107 RUE DE GRENELLE",75007,"PARIS 07"
30000730184913,"INTERIEUR","MINISTERE DES OUTRE MER","Ministere","27 RUE OUDINOT",75007,"PARIS 07"
30000730520308,"Ministďż˝res ďż˝conomiques et financiers","MINISTERE DE L ECONOMIE ET DES FINANCES","Ministere","59 BOULEVARD VINCENT AURIOL",75013,"PARIS 13"
30000730676754,"JUSTICE","PALAIS DE JUSTICE DE PARIS","Tribunal","2 BOULEVARD DU PALAIS 75001 PARIS",75001,"PARIS"
30000730758320,"INTERIEUR","PREFECTURE DE POLICE","Service","3 QUAI DE L HORLOGE",75001,"PARIS 01"
30000731156801,"EDUCATION","EDUCATION NATIONALE","Ministere","99 RUE DE GRENELLE",75007,"PARIS 07"
30000731578110,"EDUCATION","EDUCATION NATIONALE","Ministere","78 RUE REGNAULT",75013,"PARIS 13"
30000740164799,"EDUCATION","EDUCATION NATIONALE","Ministere","10 RUE DU DOCTEUR BLANCHE",75016,"PARIS 16"
30000740492728,"EDUCATION","MINISTERE EDUCATION NATIONALE","Ministere","61 RUE DUTOT",75015,"PARIS 15"
30000741467105,"INTERIEUR","PREFECTURE DE PARIS ET IDF","Service","5 RUE LEBLANC",75511,"PARIS 15"
30000741696020,"INTERIEUR","PREFECTURE DE PARIS","Service","5 RUE LEBLANC",75511,"PARIS 15"
30000750266286,"INTERIEUR","PREF POLICE DION SCES TECHNIQU","Service","AVENUE DE LA PORTE DE LA VILLETTE",75019,"PARIS 19"
30000750272472,"INTERIEUR","MINISTERE DE L INTERIEUR - BEAUVAU","Ministere","9 RUE CAMBACERES",75008,"PARIS 08"
30000751239402,"JUSTICE","TRIBUNAL DE POLICE","Tribunal","11 RUE DE CAMBRAI IMMEUBLE BRABANT 75019 PARIS",75019,"PARIS"
30000754327740,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION SCS FISCAUX PAR EST","Administration","17 PLACE DE L ARGONNE",75019,"PARIS 19"
30000754707760,"INTERIEUR","MINISTERE DE L INTERIEUR  - BEAUVAU","Ministere","11 RUE DE PENTHIEVRE",75008,"PARIS 08"
30000940231108,"INTERIEUR","UIISC1 ďż˝ QUARTIER DE SULLY","Caserne","29 RUE DE SULLY BP 50179",28400,"NOGENT LE ROTROU"
30000940594772,"INTERIEUR","PREFECTURE D'EURE ET LOIR","Service","PLACE DE LA REPUBLIQUE",28000,"CHARTRES"
